,center,state,distance
0,New York,AK,5603.4980181402025
1,New York,AL,1485.211451879785
2,New York,AR,1683.5277946901113
3,New York,AZ,3347.0581573123873
4,New York,CA,3934.568394578378
5,New York,CO,2703.074327554292
6,New York,CT,123.24543267160192
7,New York,DC,331.673046522438
8,New York,DE,240.6736689087988
9,New York,FL,1603.9928786468915
10,New York,GA,1241.6881941945624
11,New York,HI,7914.680802575817
12,New York,IA,1607.5647514204366
13,New York,ID,3347.1460838790617
14,New York,IL,1306.2411663623957
15,New York,IN,986.9152669819043
16,New York,KS,2102.5576911530893
17,New York,KY,946.1533049079727
18,New York,LA,1942.8577176728636
19,New York,MA,285.2621124593549
20,New York,MD,295.4105253306118
21,New York,ME,624.5920550582861
22,New York,MI,1038.9185950062108
23,New York,MN,1795.2667096730602
24,New York,MO,1570.0035295778594
25,New York,MS,1662.0580464839354
26,New York,MT,2983.1514933345443
27,New York,NC,705.8261211986274
28,New York,ND,2282.775667103326
29,New York,NE,2175.5177351689263
30,New York,NH,339.52879725771015
31,New York,NJ,81.36163833888463
32,New York,NM,2794.8615084562907
33,New York,NV,3611.924845236314
34,New York,NY,290.25868363967953
35,New York,OH,760.5126954194
36,New York,OK,2126.6333746029723
37,New York,OR,3812.0368538220227
38,New York,PA,280.47734617573593
39,New York,PR,2588.553055409822
40,New York,RI,228.270514627625
41,New York,SC,994.7112413880169
42,New York,SD,2161.8444104097075
43,New York,TN,1247.6898030783186
44,New York,TX,2512.761492057162
45,New York,UT,3153.0053153910726
46,New York,VA,546.2180340565196
47,New York,VT,443.32721200071455
48,New York,WA,3761.533994250912
49,New York,WI,1271.3572762030808
50,New York,WV,606.2207003526868
51,New York,WY,2763.0307866688177
52,Los Angeles,AK,4104.727218504386
53,Los Angeles,AL,2932.278349349568
54,Los Angeles,AR,2431.8566468324157
55,Los Angeles,AZ,675.0103571154104
56,Los Angeles,CA,309.02276314011374
57,Los Angeles,CO,1275.7709577635317
58,Los Angeles,CT,4026.0718753330348
59,Los Angeles,DC,3712.159096329653
60,Los Angeles,DE,3842.163343628327
61,Los Angeles,FL,3579.176475861508
62,Los Angeles,GA,3303.0944926040643
63,Los Angeles,HI,3990.851222902323
64,Los Angeles,IA,2373.2061178599206
65,Los Angeles,ID,1148.9295082745598
66,Los Angeles,IL,2655.687049769858
67,Los Angeles,IN,2975.090645275176
68,Los Angeles,KS,1859.9286908902147
69,Los Angeles,KY,3089.1156845434916
70,Los Angeles,LA,2476.81203268297
71,Los Angeles,MA,4162.088847761296
72,Los Angeles,MD,3744.7002141909793
73,Los Angeles,ME,4306.607644354569
74,Los Angeles,MI,3025.8375706212864
75,Los Angeles,MN,2436.6571397025573
76,Los Angeles,MO,2424.157915548836
77,Los Angeles,MS,2701.8376228096427
78,Los Angeles,MT,1570.6258504129885
79,Los Angeles,NC,3578.8123069014437
80,Los Angeles,ND,2083.652074828594
81,Los Angeles,NE,1818.5335406540926
82,Los Angeles,NH,4142.5269233256195
83,Los Angeles,NJ,3926.9131853353724
84,Los Angeles,NM,1230.5258520271557
85,Los Angeles,NV,549.4997778756098
86,Los Angeles,NY,3927.4925550959074
87,Los Angeles,OH,3202.8635412620442
88,Los Angeles,OK,1954.933916864028
89,Los Angeles,OR,1091.1352222015132
90,Los Angeles,PA,3684.709256626815
91,Los Angeles,PR,5409.101448532032
92,Los Angeles,RI,4160.21665298613
93,Los Angeles,SC,3422.4469627995995
94,Los Angeles,SD,1932.6911449289084
95,Los Angeles,TN,2903.472665285789
96,Los Angeles,TX,1742.5665230624174
97,Los Angeles,UT,871.4332099135607
98,Los Angeles,VA,3586.516349764276
99,Los Angeles,VT,4059.5314183361033
100,Los Angeles,WA,1526.4601103485345
101,Los Angeles,WI,2763.9272463719653
102,Los Angeles,WV,3418.0524263548227
103,Los Angeles,WY,1385.712229349338
104,Chicago,AK,4825.766281714371
105,Chicago,AL,1058.7069907023085
106,Chicago,AR,820.3292843527968
107,Chicago,AZ,2222.569978494996
108,Chicago,CA,2777.265947705999
109,Chicago,CO,1547.4657638975905
110,Chicago,CT,1213.5938269842593
111,Chicago,DC,960.6950633891653
112,Chicago,DE,1081.3879715769622
113,Chicago,FL,1669.4733188925654
114,Chicago,GA,1154.8996263932165
115,Chicago,HI,6756.408971128994
116,Chicago,IA,449.29068152702024
117,Chicago,ID,2211.645292200295
118,Chicago,IL,196.18441283202026
119,Chicago,IN,225.72810774098005
120,Chicago,KS,967.748634676293
121,Chicago,KY,531.4447624537966
122,Chicago,LA,1240.9057342025064
123,Chicago,MA,1347.607120437941
124,Chicago,MD,986.1478469139216
125,Chicago,ME,1518.5667677933639
126,Chicago,MI,323.32924256049927
127,Chicago,MN,778.9640808002399
128,Chicago,MO,557.1748631590177
129,Chicago,MS,1063.2675868345223
130,Chicago,MT,1884.9226340864031
131,Chicago,NC,1010.001543736348
132,Chicago,ND,1229.274491065503
133,Chicago,NE,1017.2247809377885
134,Chicago,NH,1330.6626318871859
135,Chicago,NJ,1134.355212271794
136,Chicago,NM,1691.608036928892
137,Chicago,NV,2453.6279377157816
138,Chicago,NY,1116.4767867032647
139,Chicago,OH,431.1113798033439
140,Chicago,OK,1116.5164863885223
141,Chicago,OR,2679.0151984179665
142,Chicago,PA,878.0177915731449
143,Chicago,PR,3296.2022099314436
144,Chicago,RI,1347.3185674987326
145,Chicago,SC,1056.7440294886694
146,Chicago,SD,1024.3087181152177
147,Chicago,TN,708.1074767751059
148,Chicago,TX,1541.1700952171645
149,Chicago,UT,1995.1364292318349
150,Chicago,VA,915.8124060926691
151,Chicago,VT,1262.6289192762235
152,Chicago,WA,2674.6056530245355
153,Chicago,WI,234.31655125591593
154,Chicago,WV,712.584144480252
155,Chicago,WY,1614.7045679761093
156,Houston,AK,5565.134196434141
157,Houston,AL,856.9738940331417
158,Houston,AR,687.5376331243486
159,Houston,AZ,1557.2552792869535
160,Houston,CA,2361.7072239779077
161,Houston,CO,1440.9616842839398
162,Houston,CT,2395.735094817811
163,Houston,DC,1963.1332456912012
164,Houston,DE,2082.4234457640237
165,Houston,FL,1374.3327259772627
166,Houston,GA,1220.160773708311
167,Houston,HI,6124.521617121109
168,Houston,IA,1357.9664791452858
169,Houston,ID,2331.6100694803213
170,Houston,IL,1320.8438380877803
171,Houston,IN,1488.5718789021757
172,Houston,KS,1062.7144694337862
173,Houston,KY,1361.3115495259533
174,Houston,LA,350.8655387596259
175,Houston,MA,2561.7541431390623
176,Houston,MD,2000.4863172904686
177,Houston,ME,2843.528016164189
178,Houston,MI,1829.6182779074359
179,Houston,MN,1882.3581576187878
180,Houston,MO,965.2284648516895
181,Houston,MS,638.572786551061
182,Houston,MT,2297.144205833161
183,Houston,NC,1667.8417894840763
184,Houston,ND,2031.0022904478815
185,Houston,NE,1361.768979906596
186,Houston,NH,2586.530687547612
187,Houston,NJ,2222.0567185892355
188,Houston,NM,1074.1259714017115
189,Houston,NV,2172.4435648997633
190,Houston,NY,2405.0975247813717
191,Houston,OH,1635.9054426789342
192,Houston,OK,601.4543507656608
193,Houston,OR,2714.906764351643
194,Houston,PA,2073.701058277782
195,Houston,PR,3185.4567242229823
196,Houston,RI,2516.4838555347683
197,Houston,SC,1418.2978542238616
198,Houston,SD,1624.594292150259
199,Houston,TN,1041.9286061080827
200,Houston,TX,495.23281505989377
201,Houston,UT,1784.0304301589172
202,Houston,VA,1765.5353696470659
203,Houston,VT,2590.563594024654
204,Houston,WA,2947.268667161008
205,Houston,WI,1660.4974041196747
206,Houston,WV,1684.7944129872299
207,Houston,WY,1816.9374423597822
208,Philadelphia,AK,5607.84574915322
209,Philadelphia,AL,1357.9003618956783
210,Philadelphia,AR,1565.1264907427828
211,Philadelphia,AZ,3244.367452686636
212,Philadelphia,CA,3845.556300324816
213,Philadelphia,CO,2613.060269279149
214,Philadelphia,CT,247.22058071303454
215,Philadelphia,DC,204.3109896636035
216,Philadelphia,DE,126.59047378934731
217,Philadelphia,FL,1490.1629406448299
218,Philadelphia,GA,1116.7206161526724
219,Philadelphia,HI,7827.64933185487
220,Philadelphia,IA,1524.0185923835986
221,Philadelphia,ID,3278.390794469905
222,Philadelphia,IL,1213.0728965621913
223,Philadelphia,IN,891.823713168306
224,Philadelphia,KS,2005.4869077889043
225,Philadelphia,KY,827.6764755022863
226,Philadelphia,LA,1817.3179065147929
227,Philadelphia,MA,412.0962990826959
228,Philadelphia,MD,168.0815083879996
229,Philadelphia,ME,745.9639228528897
230,Philadelphia,MI,987.448446318935
231,Philadelphia,MN,1745.4822526731712
232,Philadelphia,MO,1462.2626520813856
233,Philadelphia,MS,1535.8296961672866
234,Philadelphia,MT,2925.185945805752
235,Philadelphia,NC,582.3984758919
236,Philadelphia,ND,2231.547791612377
237,Philadelphia,NE,2091.0203880312793
238,Philadelphia,NH,461.66848146074614
239,Philadelphia,NJ,62.350564496235734
240,Philadelphia,NM,2689.219936634552
241,Philadelphia,NV,3526.3722240756883
242,Philadelphia,NY,373.2860262452081
243,Philadelphia,OH,663.0920544016514
244,Philadelphia,OK,2013.4329391754343
245,Philadelphia,OR,3744.6216118943275
246,Philadelphia,PA,219.10075838504838
247,Philadelphia,PR,2551.0419378014158
248,Philadelphia,RI,354.3951363150653
249,Philadelphia,SC,870.169749516598
250,Philadelphia,SD,2090.5940841975575
251,Philadelphia,TN,1123.9174180805837
252,Philadelphia,TX,2395.0606585782175
253,Philadelphia,UT,3065.5513004112913
254,Philadelphia,VA,419.19436771575084
255,Philadelphia,VT,547.472471584945
256,Philadelphia,WA,3707.924804069375
257,Philadelphia,WI,1206.4202108997677
258,Philadelphia,WV,484.9318636524863
259,Philadelphia,WY,2688.0600904020625
260,Phoenix,AK,4424.69414208611
261,Phoenix,AL,2353.5533595419156
262,Phoenix,AR,1868.4135467659116
263,Phoenix,AZ,106.2317070659878
264,Phoenix,CA,756.1206572757775
265,Phoenix,CO,870.5781927832737
266,Phoenix,CT,3525.81985489338
267,Phoenix,DC,3186.040615889162
268,Phoenix,DE,3316.626947694865
269,Phoenix,FL,2992.095023852722
270,Phoenix,GA,2726.8021521938967
271,Phoenix,HI,4554.07321111016
272,Phoenix,IA,1905.1307000351371
273,Phoenix,ID,1187.5422094119408
274,Phoenix,IL,2156.0980915592577
275,Phoenix,IN,2468.65534983664
276,Phoenix,KS,1361.0569720476312
277,Phoenix,KY,2551.8028166092495
278,Phoenix,LA,1890.8337426875291
279,Phoenix,MA,3669.7880560429653
280,Phoenix,MD,3219.947087592796
281,Phoenix,ME,3843.1136199348825
282,Phoenix,MI,2571.3158900276894
283,Phoenix,MN,2072.603671347056
284,Phoenix,MO,1891.2080776996622
285,Phoenix,MS,2121.433689102194
286,Phoenix,MT,1484.8215210863684
287,Phoenix,NC,3026.470711148103
288,Phoenix,ND,1810.0070582178273
289,Phoenix,NE,1387.9083420137495
290,Phoenix,NH,3658.0326515840675
291,Phoenix,NJ,3411.9260851223444
292,Phoenix,NM,667.9784795046091
293,Phoenix,NV,698.7403446767355
294,Phoenix,NY,3444.646636568055
295,Phoenix,OH,2692.5421297107096
296,Phoenix,OK,1388.5019581574984
297,Phoenix,OR,1352.0139440602445
298,Phoenix,PA,3180.640853518911
299,Phoenix,PR,4821.3209226077415
300,Phoenix,RI,3660.0040808710723
301,Phoenix,SC,2856.1076357345996
302,Phoenix,SD,1563.0741239976435
303,Phoenix,TN,2344.823577167037
304,Phoenix,TX,1154.932396857494
305,Phoenix,UT,644.1009738030098
306,Phoenix,VA,3047.1444759965075
307,Phoenix,VT,3589.6430050041627
308,Phoenix,WA,1733.506586981019
309,Phoenix,WI,2311.287292514065
310,Phoenix,WV,2888.334759619201
311,Phoenix,WY,1134.7885745399797
312,San Antonio,AK,5444.365128872999
313,San Antonio,AL,1154.4181639202084
314,San Antonio,AR,894.3021904748723
315,San Antonio,AZ,1293.1599749807265
316,San Antonio,CA,2105.653756342761
317,San Antonio,CO,1300.3910628689493
318,San Antonio,CT,2655.657554691163
319,San Antonio,DC,2232.4424282036225
320,San Antonio,DE,2355.0330282453942
321,San Antonio,FL,1674.6519403498269
322,San Antonio,GA,1522.30819535822
323,San Antonio,HI,5823.626320110296
324,San Antonio,IA,1460.694550126641
325,San Antonio,ID,2164.378931625378
326,San Antonio,IL,1490.1222871332377
327,San Antonio,IN,1699.7820451390924
328,San Antonio,KS,1058.2298084149475
329,San Antonio,KY,1612.290985977176
330,San Antonio,LA,643.9140581714933
331,San Antonio,MA,2820.1019604119792
332,San Antonio,MD,2269.7405880727433
333,San Antonio,ME,3087.8066188895937
334,San Antonio,MI,2004.4733710782182
335,San Antonio,MN,1944.3115371394247
336,San Antonio,MO,1127.0671213745366
337,San Antonio,MS,928.6583567628062
338,San Antonio,MT,2187.309529335858
339,San Antonio,NC,1954.6473157657247
340,San Antonio,ND,2018.27445784059
341,San Antonio,NE,1339.4601981902847
342,San Antonio,NH,2839.3640413587304
343,San Antonio,NJ,2489.3755610324174
344,San Antonio,NM,864.650487423335
345,San Antonio,NV,1942.698529147906
346,San Antonio,NY,2650.3028086813433
347,San Antonio,OH,1868.2387213155318
348,San Antonio,OK,628.4829630836961
349,San Antonio,OR,2517.876827534007
350,San Antonio,PA,2325.213833566035
351,San Antonio,PR,3469.337821860253
352,San Antonio,RI,2779.8687016490976
353,San Antonio,SC,1713.748846047276
354,San Antonio,SD,1613.4630533902275
355,San Antonio,TN,1305.9979828256621
356,San Antonio,TX,306.5839813157173
357,San Antonio,UT,1587.3811248548955
358,San Antonio,VA,2041.6330279183155
359,San Antonio,VT,2831.6089411484295
360,San Antonio,WA,2783.830618702849
361,San Antonio,WI,1808.27657431275
362,San Antonio,WV,1946.2482821332762
363,San Antonio,WY,1700.291269843626
364,San Diego,AK,4284.995277400726
365,San Diego,AL,2828.1681297947594
366,San Diego,AR,2344.048479425981
367,San Diego,AZ,576.1631180686126
368,San Diego,CA,485.2694660650766
369,San Diego,CO,1261.2390545792166
370,San Diego,CT,3981.769140573885
371,San Diego,DC,3652.324508507395
372,San Diego,DE,3782.7907897761365
