state,sex,min_age,max_age,population
Alabama,M,0,4.0,149264
Alaska,M,0,4.0,27082
Arizona,M,0,4.0,222960
Arkansas,M,0,4.0,97731
California,M,0,4.0,1249515
Colorado,M,0,4.0,171875
Connecticut,M,0,4.0,93687
Delaware,M,0,4.0,27658
District of Columbia,M,0,4.0,23103
Florida,M,0,4.0,584881
Georgia,M,0,4.0,335343
Hawaii,M,0,4.0,45005
Idaho,M,0,4.0,59400
Illinois,M,0,4.0,389047
Indiana,M,0,4.0,215216
Iowa,M,0,4.0,101367
Kansas,M,0,4.0,96625
Kentucky,M,0,4.0,141008
Louisiana,M,0,4.0,156329
Maine,M,0,4.0,33189
Maryland,M,0,4.0,186178
Massachusetts,M,0,4.0,184129
Michigan,M,0,4.0,292555
Minnesota,M,0,4.0,181831
Mississippi,M,0,4.0,94226
Missouri,M,0,4.0,190918
Montana,M,0,4.0,31959
Nebraska,M,0,4.0,68317
Nevada,M,0,4.0,95034
New Hampshire,M,0,4.0,32922
New Jersey,M,0,4.0,264775
New Mexico,M,0,4.0,63559
New York,M,0,4.0,583539
North Carolina,M,0,4.0,311910
North Dakota,M,0,4.0,27966
Ohio,M,0,4.0,355502
Oklahoma,M,0,4.0,133379
Oregon,M,0,4.0,119974
Pennsylvania,M,0,4.0,359863
Rhode Island,M,0,4.0,27959
South Carolina,M,0,4.0,149244
South Dakota,M,0,4.0,31827
Tennessee,M,0,4.0,207460
Texas,M,0,4.0,1034056
Utah,M,0,4.0,129788
Vermont,M,0,4.0,15276
Virginia,M,0,4.0,261793
Washington,M,0,4.0,237614
West Virginia,M,0,4.0,48695
Wisconsin,M,0,4.0,171036
Wyoming,M,0,4.0,18633
Alabama,F,0,4.0,143939
Alaska,F,0,4.0,26033
Arizona,F,0,4.0,212976
Arkansas,F,0,4.0,92612
California,F,0,4.0,1191785
Colorado,F,0,4.0,164979
Connecticut,F,0,4.0,89447
Delaware,F,0,4.0,27153
District of Columbia,F,0,4.0,22514
Florida,F,0,4.0,558302
Georgia,F,0,4.0,322071
Hawaii,F,0,4.0,42699
Idaho,F,0,4.0,56939
Illinois,F,0,4.0,371572
Indiana,F,0,4.0,203328
Iowa,F,0,4.0,96851
Kansas,F,0,4.0,92710
Kentucky,F,0,4.0,134404
Louisiana,F,0,4.0,150690
Maine,F,0,4.0,31093
Maryland,F,0,4.0,178326
Massachusetts,F,0,4.0,176032
Michigan,F,0,4.0,279608
Minnesota,F,0,4.0,173460
Mississippi,F,0,4.0,91251
Missouri,F,0,4.0,181795
Montana,F,0,4.0,30577
Nebraska,F,0,4.0,64651
Nevada,F,0,4.0,90961
New Hampshire,F,0,4.0,31098
New Jersey,F,0,4.0,253853
New Mexico,F,0,4.0,60687
New York,F,0,4.0,556903
North Carolina,F,0,4.0,298218
North Dakota,F,0,4.0,26729
Ohio,F,0,4.0,339287
Oklahoma,F,0,4.0,127050
Oregon,F,0,4.0,114240
Pennsylvania,F,0,4.0,343134
Rhode Island,F,0,4.0,26454
South Carolina,F,0,4.0,143147
South Dakota,F,0,4.0,30305
Tennessee,F,0,4.0,199114
Texas,F,0,4.0,990070
Utah,F,0,4.0,123216
Vermont,F,0,4.0,14405
Virginia,F,0,4.0,249131
Washington,F,0,4.0,225087
West Virginia,F,0,4.0,46562
Wisconsin,F,0,4.0,163346
Wyoming,F,0,4.0,17279
Alabama,M,5,9.0,152067
Alaska,M,5,9.0,26798
Arizona,M,5,9.0,230196
Arkansas,M,5,9.0,98924
California,M,5,9.0,1271644
Colorado,M,5,9.0,178246
Connecticut,M,5,9.0,99943
Delaware,M,5,9.0,28488
District of Columbia,M,5,9.0,19126
Florida,M,5,9.0,591075
Georgia,M,5,9.0,349371
Hawaii,M,5,9.0,44581
Idaho,M,5,9.0,62412
Illinois,M,5,9.0,397553
Indiana,M,5,9.0,219821
Iowa,M,5,9.0,103032
Kansas,M,5,9.0,101092
Kentucky,M,5,9.0,142230
Louisiana,M,5,9.0,153644
Maine,M,5,9.0,34578
Maryland,M,5,9.0,188926
Massachusetts,M,5,9.0,189121
Michigan,M,5,9.0,300339
Minnesota,M,5,9.0,184406
Mississippi,M,5,9.0,98086
Missouri,M,5,9.0,193618
Montana,M,5,9.0,32675
Nebraska,M,5,9.0,67727
Nevada,M,5,9.0,98001
New Hampshire,M,5,9.0,35537
New Jersey,M,5,9.0,272563
New Mexico,M,5,9.0,68731
New York,M,5,9.0,572512
North Carolina,M,5,9.0,319840
North Dakota,M,5,9.0,25625
Ohio,M,5,9.0,362497
Oklahoma,M,5,9.0,136879
Oregon,M,5,9.0,124248
Pennsylvania,M,5,9.0,370798
Rhode Island,M,5,9.0,28058
South Carolina,M,5,9.0,155180
South Dakota,M,5,9.0,31224
Tennessee,M,5,9.0,210395
Texas,M,5,9.0,1043283
Utah,M,5,9.0,132742
Vermont,M,5,9.0,16215
Virginia,M,5,9.0,263477
Washington,M,5,9.0,238374
West Virginia,M,5,9.0,51768
Wisconsin,M,5,9.0,178917
Wyoming,M,5,9.0,19407
Alabama,F,5,9.0,145833
Alaska,F,5,9.0,25258
Arizona,F,5,9.0,221530
Arkansas,F,5,9.0,94360
California,F,5,9.0,1217258
Colorado,F,5,9.0,169707
